"Color Name";"Color Number";"Hex";"RGB"
"Signal Red";"925";"#BB2212";"rgb(187, 34, 18)"
"Cardinal Red";"955";"#B51E17";"rgb(181, 30, 23)"
"Spicy Red";"987";"#C30E05";"rgb(195, 14, 5)"
"Soft Red";"981";"#AF222E";"rgb(175, 34, 46)"
"Geranium Red";"922";"#AB0E1A";"rgb(171, 14, 26)"
"Tomato Red";"903";"#A52122";"rgb(165, 33, 34)"
"Carmine Red";"950";"#9F0713";"rgb(159, 7, 19)"
"Dark Red";"924";"#8D181E";"rgb(141, 24, 30)"
"Burgundy";"923";"#6E0F1C";"rgb(110, 15, 28)"
"Rioja Red";"959";"#501521";"rgb(80, 21, 33)"
"Pink";"986";"#C03164";"rgb(192, 49, 100)"
"Magenta";"947";"#D46390";"rgb(212, 99, 144)"
"Light Purple";"978";"#B24784";"rgb(178, 71, 132)"
"Purple";"948";"#672760";"rgb(103, 39, 96)"
"Lilac";"954";"#884182";"rgb(136, 65, 130)"
"Dark Purple";"984";"#502B4F";"rgb(80, 43, 79)"
"Passion Blue";"969";"#262259";"rgb(38, 34, 89)"
"Sapphire Blue";"909";"#1E3877";"rgb(30, 56, 119)"
"Midnight Blue";"933";"#18387A";"rgb(24, 56, 122)"
"Royal Blue";"939";"#003D76";"rgb(0, 61, 118)"
"Empire Blue";"968";"#1D2D70";"rgb(29, 45, 112)"
"Swimming Blue";"979";"#25488E";"rgb(37, 72, 142)"
"Cobalt Blue";"957";"#141B3C";"rgb(20, 27, 60)"
"Indigo Blue";"932";"#0E213C";"rgb(14, 33, 60)"
"Antique Blue";"982";"#405072";"rgb(64, 80, 114)"
"Airforce Blue";"963";"#365A6F";"rgb(54, 90, 111)"
"Gentian Blue";"912";"#005891";"rgb(0, 88, 145)"
"Vivid Blue";"934";"#005393";"rgb(0, 83, 147)"
"Cosmos Blue";"941";"#005190";"rgb(0, 81, 144)"
"Sea Blue";"964";"#005F95";"rgb(0, 95, 149)"
"Intense Blue";"935";"#0073B5";"rgb(0, 115, 181)"
"Light Blue";"942";"#0094C9";"rgb(0, 148, 201)"
"Petrol";"943";"#00656D";"rgb(0, 101, 109)"
"Turquoise";"971";"#008584";"rgb(0, 133, 132)"
"Aqua";"944";"#00A395";"rgb(0, 163, 149)"
"Caribbean Aqua";"946";"#00AA97";"rgb(0, 170, 151)"
"Mint";"965";"#75D7BC";"rgb(117, 215, 188)"
"Bottle Green";"970";"#009358";"rgb(0, 147, 88)"
"Meadow Green";"966";"#008C45";"rgb(0, 140, 69)"
"Green";"929";"#007E2F";"rgb(0, 126, 47)"
"Kelly Green";"908";"#007939";"rgb(0, 121, 57)"
"Emerald Green";"931";"#006228";"rgb(0, 98, 40)"
"Golf Green";"945";"#094C3F";"rgb(9, 76, 63)"
"Dark Green";"916";"#03411F";"rgb(3, 65, 31)"
"Light Green";"907";"#579C37";"rgb(87, 156, 55)"
"Grass Green";"956";"#69AB27";"rgb(105, 171, 39)"
"Leaf Green";"967";"#40450D";"rgb(64, 69, 13)"
"Springtime Green";"958";"#B6C622";"rgb(182, 198, 34)"
"Lemon";"972";"#E5CD00";"rgb(229, 205, 0)"
"White";"900";"#FAFBF7";"rgb(250, 251, 247)"
"White Matt";"920";"#FCFDF9";"rgb(252, 253, 249)"
"Pearl Grey ";"961";"#CCCCCF";"rgb(204, 204, 207)"
"Dove Grey";"960";"#AAA8A5";"rgb(170, 168, 165)"
"Grey";"918";"#7D8484";"rgb(125, 132, 132)"
"Gunmetal Grey";"983";"#5E6770";"rgb(94, 103, 112)"
"Storm Grey";"962";"#4D4F4F";"rgb(77, 79, 79)"
"Black";"901";"#191817";"rgb(25, 24, 23)"
"Black Matt";"921";"#3A3A3A";"rgb(58, 58, 58)"
"Grey Metallic";"992";"#535656";"rgb(83, 86, 86)"
"Silver Metallic";"990";"#B5B7B8";"rgb(181, 183, 184)"
"Gold Metallic";"991";"#A49558";"rgb(164, 149, 88)"
"Ivory";"913";"#E8D9C0";"rgb(232, 217, 192)"
"Taxi Beige";"917";"#ECDDBA";"rgb(236, 221, 186)"
"Cream";"914";"#CDAF7F";"rgb(205, 175, 127)"
"Mocha";"973";"#8D5D28";"rgb(141, 93, 40)"
"Leather Brown";"974";"#A45516";"rgb(164, 85, 22)"
"Fox Brown";"975";"#89382B";"rgb(137, 56, 43)"
"Wine Red";"930";"#76151B";"rgb(118, 21, 27)"
"Brown";"976";"#6A3621";"rgb(106, 54, 33)"
"Mahogany Brown";"915";"#492A1E";"rgb(73, 42, 30)"
